image_path,stage2_label,stage2_prob_action,final_score,num_stage1_boxes
/home/akshay_grp20/project/Signal Sprint PNG/IMG_9524.png,no_action,0.25671494007110596,0.323879,2
/home/akshay_grp20/project/Signal Sprint PNG/IMG_9525.png,no_action,0.13945963978767395,0.250677,1
/home/akshay_grp20/project/Signal Sprint PNG/IMG_9526.png,no_action,0.3443017303943634,0.430979,1
/home/akshay_grp20/project/Signal Sprint PNG/IMG_9527.png,,,0.02,0
/home/akshay_grp20/project/Signal Sprint PNG/IMG_9528.png,,,0.02,0
/home/akshay_grp20/project/Signal Sprint PNG/IMG_9529.png,,,0.02,0
/home/akshay_grp20/project/Signal Sprint PNG/IMG_9530.png,,,0.02,0
/home/akshay_grp20/project/Signal Sprint PNG/IMG_9531.png,,,0.02,0
/home/akshay_grp20/project/Signal Sprint PNG/IMG_9532.png,no_action,0.3888406753540039,0.461892,1
/home/akshay_grp20/project/Signal Sprint PNG/IMG_9533.png,,,0.02,0
/home/akshay_grp20/project/Signal Sprint PNG/IMG_9534.png,no_action,0.32349205017089844,0.357591,1
/home/akshay_grp20/project/Signal Sprint PNG/IMG_9535.png,,,0.02,0
/home/akshay_grp20/project/Signal Sprint PNG/IMG_9552.png,no_action,0.10238974541425705,0.190679,2
/home/akshay_grp20/project/Signal Sprint PNG/IMG_9553.png,,,0.02,0
/home/akshay_grp20/project/Signal Sprint PNG/IMG_9554.png,no_action,0.10061844438314438,0.177482,2
/home/akshay_grp20/project/Signal Sprint PNG/IMG_9555.png,,,0.02,0
/home/akshay_grp20/project/Signal Sprint PNG/IMG_9556.png,no_action,0.142929345369339,0.211724,1
/home/akshay_grp20/project/Signal Sprint PNG/IMG_9557.png,no_action,0.18610526621341705,0.233255,1
/home/akshay_grp20/project/Signal Sprint PNG/IMG_9568.png,no_action,0.023422082886099815,0.155658,2
/home/akshay_grp20/project/Signal Sprint PNG/IMG_9569.png,no_action,0.07463417202234268,0.20492,1
/home/akshay_grp20/project/Signal Sprint PNG/IMG_9570.png,no_action,0.0749289020895958,0.174404,1
/home/akshay_grp20/project/Signal Sprint PNG/IMG_9580.png,no_action,0.17483921349048615,0.290012,1
/home/akshay_grp20/project/Signal Sprint PNG/IMG_9581.png,no_action,0.2855735123157501,0.378981,1
/home/akshay_grp20/project/Signal Sprint PNG/IMG_9582.png,no_action,0.13878072798252106,0.256898,1
/home/akshay_grp20/project/Signal Sprint PNG/IMG_9583.png,no_action,0.034025825560092926,0.168282,1
/home/akshay_grp20/project/Signal Sprint PNG/IMG_9584.png,no_action,0.05232876166701317,0.178755,1
/home/akshay_grp20/project/Signal Sprint PNG/IMG_9586.png,no_action,0.011466067284345627,0.146774,1
/home/akshay_grp20/project/Signal Sprint PNG/IMG_9620.png,no_action,0.011581487953662872,0.144462,1
/home/akshay_grp20/project/Signal Sprint PNG/IMG_9621.png,no_action,0.15111616253852844,0.262288,1
/home/akshay_grp20/project/Signal Sprint PNG/IMG_9622.png,no_action,0.1466166228055954,0.175694,1
/home/akshay_grp20/project/Signal Sprint PNG/IMG_9623.png,no_action,0.07192422449588776,0.137287,2
/home/akshay_grp20/project/Signal Sprint PNG/IMG_9624.png,no_action,0.35642245411872864,0.378068,1
/home/akshay_grp20/project/Signal Sprint PNG/IMG_9625.png,no_action,0.5272666811943054,0.503738,1
/home/akshay_grp20/project/Signal Sprint PNG/IMG_9626.png,no_action,0.244940847158432,0.318883,1
/home/akshay_grp20/project/Signal Sprint PNG/IMG_9627.png,,,0.02,0
/home/akshay_grp20/project/Signal Sprint PNG/IMG_9628.png,,,0.02,0
/home/akshay_grp20/project/Signal Sprint PNG/IMG_9629.png,,,0.02,0
/home/akshay_grp20/project/Signal Sprint PNG/IMG_9630.png,,,0.02,0
