image_path,stage2_label,stage2_prob_action,final_score,num_stage1_boxes
/Users/ayushjha/Downloads/Signal Sprint PNG/IMG_9554.png,action_required,0.6075212359428406,0.666393,12
/Users/ayushjha/Downloads/Signal Sprint PNG/IMG_9568.png,no_action,0.21070489287376404,0.329099,8
/Users/ayushjha/Downloads/Signal Sprint PNG/IMG_9583.png,no_action,0.20045821368694305,0.320389,7
/Users/ayushjha/Downloads/Signal Sprint PNG/IMG_9622.png,no_action,0.5476039052009583,0.615458,14
/Users/ayushjha/Downloads/Signal Sprint PNG/IMG_9623.png,no_action,0.31886428594589233,0.420994,19
/Users/ayushjha/Downloads/Signal Sprint PNG/IMG_9582.png,no_action,0.33245187997817993,0.432584,13
/Users/ayushjha/Downloads/Signal Sprint PNG/IMG_9569.png,no_action,0.27182698249816895,0.381053,10
/Users/ayushjha/Downloads/Signal Sprint PNG/IMG_9555.png,action_required,0.769872785,0.80329,11
/Users/ayushjha/Downloads/Signal Sprint PNG/IMG_9557.png,no_action,0.5264219045639038,0.597346,11
/Users/ayushjha/Downloads/Signal Sprint PNG/IMG_9580.png,no_action,0.31653326749801636,0.419053,12
/Users/ayushjha/Downloads/Signal Sprint PNG/IMG_9621.png,no_action,0.24179023504257202,0.355522,10
/Users/ayushjha/Downloads/Signal Sprint PNG/IMG_9620.png,no_action,0.12347964197397232,0.254957,10
/Users/ayushjha/Downloads/Signal Sprint PNG/IMG_9581.png,no_action,0.5001762509346008,0.57515,10
/Users/ayushjha/Downloads/Signal Sprint PNG/IMG_9556.png,no_action,0.4763544797897339,0.554901,13
/Users/ayushjha/Downloads/Signal Sprint PNG/IMG_9552.png,no_action,0.43811744451522827,0.522399,13
/Users/ayushjha/Downloads/Signal Sprint PNG/IMG_9624.png,no_action,0.39458605647087097,0.485381,5
/Users/ayushjha/Downloads/Signal Sprint PNG/IMG_9630.png,no_action,0.42388251423835754,0.510297,4
/Users/ayushjha/Downloads/Signal Sprint PNG/IMG_9625.png,no_action,0.4645538628101349,0.544448,7
/Users/ayushjha/Downloads/Signal Sprint PNG/IMG_9584.png,no_action,0.1967359483242035,0.317216,11
/Users/ayushjha/Downloads/Signal Sprint PNG/IMG_9553.png,action_required,0.6968494057655334,0.742313,13
/Users/ayushjha/Downloads/Signal Sprint PNG/IMG_9586.png,no_action,0.22351627051830292,0.339989,14
/Users/ayushjha/Downloads/Signal Sprint PNG/IMG_9627.png,no_action,0.5023906230926514,0.545169,8
/Users/ayushjha/Downloads/Signal Sprint PNG/IMG_9626.png,no_action,0.5068643093109131,0.580678,19
/Users/ayushjha/Downloads/Signal Sprint PNG/IMG_9534.png,action_required,0.6953393220901489,0.741038,17
/Users/ayushjha/Downloads/Signal Sprint PNG/IMG_9535.png,action_required,0.6826207041740417,0.729984,18
/Users/ayushjha/Downloads/Signal Sprint PNG/IMG_9531.png,no_action,0.5377592444419861,0.600121,24
/Users/ayushjha/Downloads/Signal Sprint PNG/IMG_9525.png,no_action,0.34416118264198303,0.442537,13
/Users/ayushjha/Downloads/Signal Sprint PNG/IMG_9524.png,no_action,0.4903930723667145,0.566834,16
/Users/ayushjha/Downloads/Signal Sprint PNG/IMG_9530.png,action_required,0.5593942999839783,0.625363,18
/Users/ayushjha/Downloads/Signal Sprint PNG/IMG_9526.png,no_action,0.4908085763454437,0.567187,13
/Users/ayushjha/Downloads/Signal Sprint PNG/IMG_9532.png,action_required,0.5616379976272583,0.622555,10
/Users/ayushjha/Downloads/Signal Sprint PNG/IMG_9533.png,no_action,0.513927162,0.586834,20
/Users/ayushjha/Downloads/Signal Sprint PNG/IMG_9527.png,no_action,0.46624553203582764,0.546281,13
/Users/ayushjha/Downloads/Signal Sprint PNG/IMG_9529.png,no_action,0.4936351776123047,0.561866,6
/Users/ayushjha/Downloads/Signal Sprint PNG/IMG_9528.png,action_required,0.6135743856430054,0.66948,17
/Users/ayushjha/Downloads/Signal Sprint PNG/IMG_9628.png,action_required,0.5826107859611511,0.644799,9
/Users/ayushjha/Downloads/Signal Sprint PNG/IMG_9629.png,no_action,0.48488008975982666,0.55935,5
/Users/ayushjha/Downloads/Signal Sprint PNG/IMG_9570.png,no_action,0.2633257210254669,0.373827,22
